Collection Name,Document Count
c2_l8_129_10m,2682329
c2_l8_149_100m,2708084
c2_l8_135_90m,80165
c2_l8_187_15m,1976576
c1_l8_593_60m,458481
c2_l8_137_1m,2048975
c2_l8_154_10m,39540
c2_l8_144_1m,431746
c2_l8_224_250m,85048
c2_l8_224_20m,85048
c1_l8_460_60m,256293
c2_l8_74_15m,667718
c2_l8_174_1m,380454
c2_l8_136_250m,2659096
c2_l8_188_100m,2521789
c2_l8_170_60m,1503586
c2_l8_205_1m,1219899
c2_l8_55_15m,662655
c2_l8_232_250m,266966
c2_l8_113_20m,212219
c1_l8_343_60m,6648
c2_l8_136_20m,2659096
c2_l8_229_10m,614630
c2_l8_56_20m,1120278
c2_l8_126_60m,173904
c2_l8_184_90m,911503
c2_l8_98_125m,1862413
c1_l8_572_60m,2330
c2_l8_128_20m,2529290
c2_l8_161_20m,16919
c2_l8_200_30m,97268
c2_l8_210_125m,2014950
c2_l8_14_100m,69735
c2_l8_34_60m,1697108
c2_l8_17_30m,196548
c2_l8_226_15m,2340907
c2_l8_71_10m,2395819
c2_l8_39_15m,21229
c2_l8_59_250m,351144
c1_l8_549_60m,21957
c2_l8_80_250m,1884720
c2_l8_36_10m,1842064
c2_l8_128_60m,2529290
c2_l8_205_90m,1219899
c2_l8_74_30m,667718
c2_l8_124_125m,83057
c2_l8_156_125m,1673159
c2_l8_126_100m,173904
c2_l8_15_15m,895161
c2_l8_115_90m,130602
c2_l8_37_100m,1129380
c2_l8_98_10m,1862413
c1_l8_472_60m,86998
c2_l8_124_250m,83057
c1_l8_677_60m,8511
c2_l8_209_40m,1361162
c2_l8_190_250m,2366606
c2_l8_150_250m,2602671
c1_l8_502_60m,448038
c2_l8_198_250m,2161874
c2_l8_57_15m,1330967
c2_l8_75_100m,213978
c2_l8_187_1m,1976576
c2_l8_35_40m,1519336
c2_l8_181_90m,1096562
c2_l8_107_15m,637704
c2_l8_169_60m,1394246
c2_l8_76_250m,1680519
c2_l8_205_100m,1219899
c2_l8_118_100m,1430551
c2_l8_77_15m,2433771
c2_l8_231_250m,1190391
c2_l8_213_60m,741369
c2_l8_174_125m,380454
c2_l8_95_10m,529476
c2_l8_55_30m,662655
c2_l8_116_125m,1689925
c2_l8_108_15m,2863825
c2_l8_116_100m,1689925
c2_l8_120_30m,937251
c2_l8_186_15m,2623509
c2_l8_208_90m,2231939
c2_l8_126_250m,173904
c2_l8_201_20m,1847602
c2_l8_79_125m,1583502
c2_l8_194_100m,317742
c2_l8_238_250m,1270
c2_l8_55_20m,662655
c2_l8_227_60m,2191658
c2_l8_16_10m,745524
c2_l8_215_20m,102682
c2_l8_54_100m,709384
c2_l8_164_125m,1437531
c2_l8_31_40m,64421
c2_l8_37_125m,1129380
c2_l8_175_125m,40617
c2_l8_238_90m,1270
c2_l8_215_125m,102682
c2_l8_193_90m,1559034
c2_l8_183_125m,1307946
c2_l8_120_100m,937251
c2_l8_206_10m,900000
c2_l8_231_10m,1190391
c2_l8_53_40m,1120278
c2_l8_92_60m,1860925
c2_l8_187_125m,1976576
c2_l8_176_15m,95877
c2_l8_219_100m,49919
c2_l8_175_40m,40617
c2_l8_70_40m,183688
c2_l8_161_250m,16919
c2_l8_176_20m,95877
c2_l8_108_90m,2863825
c2_l8_96_30m,2153583
c2_l8_35_250m,1519336
c2_l8_112_100m,62754
c2_l8_162_1m,40138
c2_l8_125_100m,54471
c2_l8_202_20m,2892209
c2_l8_137_40m,2048975
c2_l8_130_30m,2853556
c2_l8_38_10m,213700
c2_l8_163_40m,340730
c2_l8_90_1m,877724
c2_l8_73_30m,1398668
c2_l8_233_125m,750426
c2_l8_144_40m,431746
c2_l8_128_10m,2529290
c2_l8_35_100m,1519336
c2_l8_108_1m,2863825
c2_l8_55_125m,662655
c2_l8_224_40m,85048
c2_l8_177_15m,283519
c2_l8_179_1m,240759
c2_l8_37_1m,1129380
c2_l8_171_90m,2601448
c2_l8_15_10m,895161
c2_l8_145_15m,395699
c2_l8_137_60m,2048975
c2_l8_235_40m,1336166
c2_l8_181_40m,1096562
c2_l8_96_90m,2153583
c2_l8_78_100m,1614902
c2_l8_80_15m,1884720
c2_l8_242_15m,2333745
c2_l8_139_15m,1034425
c2_l8_201_1m,1847602
c2_l8_231_1m,1190391
c2_l8_128_100m,2529290
c2_l8_36_30m,1842064
c2_l8_140_125m,131305
c2_l8_218_125m,594513
c2_l8_179_20m,240759
c2_l8_52_10m,2005110
c2_l8_73_250m,1398668
c2_l8_222_90m,278486
c2_l8_197_10m,640249
c2_l8_227_250m,2191658
c2_l8_119_15m,1614414
c2_l8_170_20m,1503586
c2_l8_156_20m,1673159
c2_l8_16_250m,745524
c2_l8_58_250m,1594536
c2_l8_157_250m,417961
c2_l8_129_60m,2682329
c2_l8_185_10m,3195387
c2_l8_98_90m,1862413
c2_l8_67_10m,49662
c2_l8_167_20m,2825997
c1_l8_562_60m,603090
c2_l8_188_20m,2521789
c2_l8_156_15m,1673159
c2_l8_215_60m,102682
c2_l8_51_20m,1387659
c2_l8_215_1m,102682
c2_l8_152_250m,520
c2_l8_203_40m,1981901
c2_l8_78_30m,1614902
c1_l8_160_60m,1514708
c2_l8_116_20m,1689925
c2_l8_230_15m,346567
c2_l8_67_250m,49662
c2_l8_181_100m,1096562
c2_l8_193_125m,1559034
c2_l8_206_100m,900000
c2_l8_126_1m,173904
c2_l8_228_60m,2194189
c2_l8_52_100m,2005110
c2_l8_67_20m,49662
c1_l8_668_60m,1124013
c2_l8_166_125m,3340706
c2_l8_70_10m,183282
c2_l8_71_40m,2395819
c2_l8_107_125m,637704
c2_l8_168_90m,2238632
c2_l8_236_125m,845138
c2_l8_93_100m,1676591
c2_l8_194_20m,317742
c2_l8_120_15m,937251
c2_l8_149_20m,2708084
c2_l8_187_60m,1976576
c2_l8_218_20m,594513
c2_l8_209_15m,1361162
c2_l8_179_40m,240759
c2_l8_127_10m,1154331
c2_l8_188_1m,2521789
c2_l8_14_15m,69735
c2_l8_224_90m,85048
c2_l8_223_125m,277281
c2_l8_200_10m,97268
c2_l8_125_1m,54471
c2_l8_174_250m,380454
c2_l8_191_30m,1722129
c2_l8_138_125m,1206439
c1_l8_39_60m,508938
c2_l8_176_1m,95877
c2_l8_162_250m,40138
c2_l8_241_60m,2521158
c2_l8_183_20m,1307946
c2_l8_167_60m,2825997
c2_l8_107_90m,637704
c2_l8_208_100m,2231939
c2_l8_95_30m,529476
c2_l8_151_10m,1796460
c2_l8_144_125m,431746
c2_l8_167_30m,2825997
c2_l8_211_15m,1032321
c2_l8_16_125m,745524
c2_l8_186_20m,2623509
c2_l8_116_15m,1689925
c2_l8_227_100m,2191658
c2_l8_228_15m,2194189
c2_l8_223_10m,277281
c2_l8_171_15m,2601448
c2_l8_210_20m,2014950
c2_l8_147_15m,3079160
c2_l8_78_90m,1614902
c2_l8_187_90m,1976576
c2_l8_107_40m,637704
c2_l8_222_250m,278486
c2_l8_88_125m,768825
c2_l8_100_1m,1638498
c2_l8_69_40m,309869
c2_l8_89_40m,1096358
c2_l8_168_40m,2238632
c2_l8_34_20m,1697108
c2_l8_216_125m,648209
c2_l8_203_60m,1981901
c2_l8_74_250m,667718
c2_l8_193_40m,1559034
c2_l8_39_30m,21229
c2_l8_58_90m,1594536
c2_l8_161_10m,16919
c2_l8_187_100m,1976576
c2_l8_74_40m,667718
c2_l8_112_40m,62754
c2_l8_73_90m,1398668
c2_l8_88_60m,768825
c2_l8_240_40m,2732247
c1_l8_402_60m,272619
c2_l8_57_1m,1330967
c2_l8_184_100m,911503
c2_l8_224_30m,85048
c2_l8_221_10m,589792
c2_l8_139_250m,1034425
c2_l8_77_125m,2433771
c2_l8_187_20m,1976576
c2_l8_145_250m,395699
c2_l8_53_10m,1120278
c2_l8_38_40m,213700
c2_l8_188_250m,2521789
c2_l8_38_100m,213700
c2_l8_168_250m,2238632
c2_l8_234_1m,908685
c2_l8_69_15m,309869
c2_l8_75_90m,213978
c2_l8_109_15m,1608118
c2_l8_182_30m,1394786
c2_l8_212_40m,1386696
c2_l8_238_40m,1270
c2_l8_110_100m,1222630
c2_l8_206_90m,800000
c2_l8_182_125m,1394786
c2_l8_216_1m,648209
c2_l8_193_250m,1559034
c2_l8_150_20m,2602671
c2_l8_221_30m,589792
c2_l8_96_100m,2153583
c2_l8_221_90m,589792
c2_l8_146_1m,1976380
c2_l8_70_90m,183688
c2_l8_184_15m,911503
c2_l8_190_100m,2366606
c2_l8_109_250m,1608118
